id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
317,Henrikh Mkhitaryan,34,2752,13,12.416659481823444,10,8.947890466079116,82,48,2,0,F M S,Roma,12,11.655360467731953,28.586254842579365,10.100948265753686,Roma,2020,Serie_A
677,Jordan Veretout,29,2086,10,8.361261988058686,2,2.954237589612603,40,26,4,0,M S,Roma,5,4.554849689826369,16.558305056765676,11.905254216864705,Roma,2020,Serie_A
2252,Borja Mayoral,31,1544,10,7.8143330831080675,2,2.1106697311624885,39,23,1,0,F M S,Roma,10,7.8143330831080675,11.527097957208753,3.751207012683153,Roma,2020,Serie_A
1253,Edin Dzeko,27,1838,7,14.253499465063214,3,2.3740068804472685,70,29,2,0,F S,Roma,7,13.492205517366529,17.418258173391223,5.702211110852659,Roma,2020,Serie_A
1471,Lorenzo Pellegrini,34,2623,7,6.7063333773985505,6,7.6751467967405915,70,65,10,0,M S,Roma,6,5.945034050382674,17.72012377716601,9.433377949520946,Roma,2020,Serie_A
687,Pedro,27,1607,5,4.9878742238506675,2,3.377940976060927,43,28,3,1,M S,Roma,5,4.9878742238506675,12.265277098864317,5.152060678228736,Roma,2020,Serie_A
6159,Gianluca Mancini,33,2857,4,2.6674883365631104,2,1.011853993870318,28,8,10,0,D,Roma,4,2.6674883365631104,11.487871080636978,10.009991316124797,Roma,2020,Serie_A
1500,Leonardo Spinazzola,27,2137,2,2.1796333799138665,4,6.562453407794237,22,37,0,0,D S,Roma,2,2.1796333799138665,14.653732663020492,6.960794975981116,Roma,2020,Serie_A
7609,Carles Pérez,21,742,2,2.882694434374571,1,1.297594577074051,23,15,0,0,F M S,Roma,2,2.882694434374571,5.875416722148657,2.460090836510062,Roma,2020,Serie_A
1000,Federico Fazio,6,409,1,0.07194980047643185,0,0.04167120158672333,3,1,2,0,D S,Roma,1,0.07194980047643185,1.0176700204610825,1.0176700204610825,Roma,2020,Serie_A
1168,Bryan Cristante,34,2142,1,2.3669067304581404,3,1.7371876053512096,28,16,8,0,D M S,Roma,1,2.3669067304581404,12.023616772145033,8.874589961022139,Roma,2020,Serie_A
1252,Stephan El Shaarawy,10,564,1,1.4402230195701122,1,1.2021809071302414,16,17,1,0,M S,Roma,1,1.4402230195701122,4.652147993445396,2.196975577622652,Roma,2020,Serie_A
1380,Amadou Diawara,18,646,1,0.9297357946634293,0,0.28547900915145874,7,1,2,1,M S,Roma,1,0.9297357946634293,3.4258932061493397,2.496157217770815,Roma,2020,Serie_A
1567,Bruno Peres,30,1402,1,1.247768897563219,2,4.322921263054013,12,28,6,0,D M S,Roma,1,1.247768897563219,9.766240935772657,6.725256685167551,Roma,2020,Serie_A
6324,Marash Kumbulla,21,1368,1,0.851187301799655,0,0.4616057928651571,6,4,8,0,D S,Roma,1,0.851187301799655,5.459870895370841,5.023548906669021,Roma,2020,Serie_A
6362,Rick Karsdorp,34,2552,1,1.1770907239988446,6,5.349184602499008,13,26,2,0,D S,Roma,1,1.1770907239988446,15.118667090311646,10.560320269316435,Roma,2020,Serie_A
628,Chris Smalling,16,1102,0,0.2958590015769005,1,0.8814990222454071,7,2,3,0,D S,Roma,0,0.2958590015769005,5.433432197198272,5.433432197198272,Roma,2020,Serie_A
1247,Juan Jesus,5,150,0,0,0,0,0,0,0,0,S,Roma,0,0,0.8360486216843128,0.8360486216843128,Roma,2020,Serie_A
1509,Davide Santon,10,592,0,0.49586408771574497,1,0.8581862188875675,5,5,3,0,D S,Roma,0,0.49586408771574497,2.912956580519676,2.0915853902697563,Roma,2020,Serie_A
1609,Antonio Mirante,13,1156,0,0,0,0,0,0,2,0,GK,Roma,0,0,2.034162533469498,2.034162533469498,Roma,2020,Serie_A
2107,Pau López,21,1814,0,0,0,0,0,0,0,0,GK S,Roma,0,0,4.276220675557852,4.276220675557852,Roma,2020,Serie_A
3295,Javier Pastore,5,72,0,0,0,0.7418193276971579,0,4,0,0,S,Roma,0,0,1.2081756126135588,0.8192479908466339,Roma,2020,Serie_A
6750,Gonzalo Villar,33,1855,0,0.5370636135339737,1,0.6603218019008636,10,8,7,0,M S,Roma,0,0.5370636135339737,10.297196271829307,9.287180525250733,Roma,2020,Serie_A
6963,Justin Kluivert,2,15,0,0.013501400128006935,0,0,1,0,0,0,S,Roma,0,0.013501400128006935,0,0,Roma,2020,Serie_A
6966,Daniel Fuzato,5,450,0,0,0,0,0,0,0,0,GK,Roma,0,0,0.34824099764227867,0.34824099764227867,Roma,2020,Serie_A
7413,Ibañez,30,2405,0,1.1106233857572079,1,1.7421262580901384,16,13,5,1,D S,Roma,0,1.1106233857572079,12.241897764615715,11.537583897821605,Roma,2020,Serie_A
8129,Riccardo Calafiori,3,66,0,0,0,0,0,0,2,0,D S,Roma,0,0,0.04144769906997681,0.04144769906997681,Roma,2020,Serie_A
8130,Ebrima Darboe,5,330,0,0.06931949872523546,0,0.0309688001871109,3,2,2,0,M S,Roma,0,0.06931949872523546,0.8956250157207251,0.840572027489543,Roma,2020,Serie_A
9036,Nicola Zalewski,1,8,0,0,1,0.07754980027675629,0,1,0,0,S,Roma,0,0,0.07754980027675629,0,Roma,2020,Serie_A
9419,Bryan Reynolds,5,283,0,0,0,0.02681880071759224,0,1,0,0,D S,Roma,0,0,0.9330739974975586,0.9062550067901611,Roma,2020,Serie_A
9518,Edoardo Bove,1,8,0,0,0,0,0,0,0,0,S,Roma,0,0,0.07754980027675629,0.07754980027675629,Roma,2020,Serie_A
