id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
9352,Masaya Okugawa,33,2562,8,4.068231645971537,1,1.7504906095564365,32,28,0,0,F M S,Arminia Bielefeld,8,4.068231645971537,6.291966812685132,0.7674045888707042,Arminia Bielefeld,2021,Bundesliga
8792,Fabian Klos,25,1424,3,4.440990044735372,1,1.263443092815578,39,16,2,1,F S,Arminia Bielefeld,1,2.925517139956355,4.991787143982947,1.6533184796571732,Arminia Bielefeld,2021,Bundesliga
9729,Janni Serra,26,1142,3,3.7852902254089713,2,0.9822040321305394,24,12,1,0,F M S,Arminia Bielefeld,3,3.7852902254089713,6.536323894746602,2.014865215867758,Arminia Bielefeld,2021,Bundesliga
9730,Patrick Wimmer,31,2082,3,4.106790913268924,6,3.4465371184051037,56,40,7,0,F M S,Arminia Bielefeld,3,4.106790913268924,8.014893369749188,2.9698164155706763,Arminia Bielefeld,2021,Bundesliga
8795,Jacob Laursen,24,1652,2,0.18619738891720772,0,0.5826631942763925,8,6,1,0,D M S,Arminia Bielefeld,2,0.18619738891720772,2.3271723156794906,1.887816702015698,Arminia Bielefeld,2021,Bundesliga
8799,Joakim Nilsson,31,2741,2,0.5782502954825759,0,0.19351040292531252,5,4,5,0,D,Arminia Bielefeld,2,0.5782502954825759,2.97020052280277,2.839428230188787,Arminia Bielefeld,2021,Bundesliga
9727,Bryan Lasme,23,851,2,0.8134284056723118,0,0.40296869445592165,13,7,2,0,F M S,Arminia Bielefeld,2,0.8134284056723118,1.6470026848837733,0.6279804203659296,Arminia Bielefeld,2021,Bundesliga
316,Gonzalo Castro,12,418,1,0.4588054958730936,1,0.4257023874670267,8,4,0,0,F M S,Arminia Bielefeld,1,0.4588054958730936,0.7145846970379353,0.3322518076747656,Arminia Bielefeld,2021,Bundesliga
2638,Alessandro Schöpf,31,2427,1,2.0364049496129155,0,2.7078188098967075,35,44,1,1,M S,Arminia Bielefeld,1,2.0364049496129155,6.2685681078583,3.030284184962511,Arminia Bielefeld,2021,Bundesliga
9728,Florian Krüger,27,1105,1,1.818889806047082,2,1.741279773414135,18,11,0,0,F M S,Arminia Bielefeld,1,1.818889806047082,4.967509428039193,1.680467113852501,Arminia Bielefeld,2021,Bundesliga
1673,Edimilson Fernandes,7,282,0,0.06666560098528862,0,0.19355560839176178,4,6,0,0,M S,Arminia Bielefeld,0,0.06666560098528862,0.22849659621715546,0.04163229838013649,Arminia Bielefeld,2021,Bundesliga
1702,Mike van der Hoorn,1,13,0,0,0,0,0,0,0,0,S,Arminia Bielefeld,0,0,0,0,Arminia Bielefeld,2021,Bundesliga
4255,Stefanos Kapino,1,90,0,0,0,0,0,0,0,0,GK,Arminia Bielefeld,0,0,0,0,Arminia Bielefeld,2021,Bundesliga
6351,Robin Hack,30,1341,0,1.9449547976255417,3,2.4048414267599583,31,18,2,0,F M S,Arminia Bielefeld,0,1.9449547976255417,5.326362544670701,1.6244646916165948,Arminia Bielefeld,2021,Bundesliga
7320,Amos Pieper,27,2385,0,0.7364614009857178,0,0.25944479927420616,14,5,2,0,D,Arminia Bielefeld,0,0.7364614009857178,2.0512767676264048,1.8053784687072039,Arminia Bielefeld,2021,Bundesliga
7797,Sebastian Vasiliadis,19,1216,0,0.3449244783259928,0,0.20372840203344822,12,6,3,0,M S,Arminia Bielefeld,0,0.3449244783259928,2.2005793736316264,1.79920641053468,Arminia Bielefeld,2021,Bundesliga
8298,Lennart Czyborra,4,128,0,0,0,0,0,0,1,0,D S,Arminia Bielefeld,0,0,0.18244999647140503,0.18244999647140503,Arminia Bielefeld,2021,Bundesliga
8786,Stefan Ortega Moreno,33,2970,0,0,0,0.19871999695897102,0,5,1,0,GK,Arminia Bielefeld,0,0,2.1753453044220805,2.0484745064750314,Arminia Bielefeld,2021,Bundesliga
8787,Nathan de Medina,19,755,0,0.19665290042757988,0,0,5,0,2,0,D S,Arminia Bielefeld,0,0.19665290042757988,0.31813210155814886,0.2501719007268548,Arminia Bielefeld,2021,Bundesliga
8789,Manuel Prietl,26,2115,0,0.8187069101259112,1,0.4364251997321844,17,5,3,0,M S,Arminia Bielefeld,0,0.8187069101259112,2.423611856997013,1.6023682113736868,Arminia Bielefeld,2021,Bundesliga
8793,Fabian Kunze,22,1245,0,0.3488710280507803,0,0.24258430022746325,11,6,9,0,M S,Arminia Bielefeld,0,0.3488710280507803,1.2682696394622326,0.8725914983078837,Arminia Bielefeld,2021,Bundesliga
8794,Cédric Brunner,27,2202,0,0.21000249683856964,1,1.6642090138047934,10,16,6,0,D S,Arminia Bielefeld,0,0.21000249683856964,3.8847422981634736,2.0919177206233144,Arminia Bielefeld,2021,Bundesliga
9731,Guilherme Ramos,13,896,0,0.33553069829940796,0,0.07266359962522984,7,2,1,0,D S,Arminia Bielefeld,0,0.33553069829940796,0.9569824188947678,0.8643952161073685,Arminia Bielefeld,2021,Bundesliga
9995,Andrés Andrade,17,1037,0,0.17710969783365726,0,0.15802538068965077,7,4,4,0,D S,Arminia Bielefeld,0,0.17710969783365726,1.21721329446882,1.0997061179950833,Arminia Bielefeld,2021,Bundesliga
10369,George Bello,10,420,0,0.08545764908194542,0,0.16033959574997425,3,2,0,0,D S,Arminia Bielefeld,0,0.08545764908194542,0.3908728025853634,0.15465840324759483,Arminia Bielefeld,2021,Bundesliga
10370,Burak Ince,5,131,0,0.4305177964270115,0,0.04000930115580559,4,1,0,0,F S,Arminia Bielefeld,0,0.4305177964270115,0.5023528933525085,0.03182550147175789,Arminia Bielefeld,2021,Bundesliga
