id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
208,Lars Stindl,30,1985,14,9.211133332923055,8,3.746523540467024,56,43,6,0,F M S,Borussia M.Gladbach,8,3.906859504058957,10.691832376644015,4.132026171311736,Borussia M.Gladbach,2020,Bundesliga
5992,Marcus Thuram,29,1756,8,7.582286558113992,3,1.91364408377558,57,17,3,1,F M S,Borussia M.Gladbach,8,7.582286558113992,11.206859802827239,3.494162787683308,Borussia M.Gladbach,2020,Bundesliga
320,Jonas Hofmann,24,1836,6,4.521512384526432,11,5.912428947165608,25,56,1,0,F M S,Borussia M.Gladbach,3,2.248177315108478,6.704236038029194,1.8707362599670887,Borussia M.Gladbach,2020,Bundesliga
3310,Alassane Pléa,29,1804,6,5.505176402628422,1,3.8594892360270023,62,28,2,0,F M S,Borussia M.Gladbach,6,5.505176402628422,11.608914274722338,3.9902685787528753,Borussia M.Gladbach,2020,Bundesliga
7065,Florian Neuhaus,33,2636,6,3.0260267797857523,5,2.8867469150573015,48,23,9,0,M S,Borussia M.Gladbach,6,3.0260267797857523,13.019774235785007,9.189495597034693,Borussia M.Gladbach,2020,Bundesliga
5356,Breel Embolo,31,1424,5,7.532668881118298,2,1.8059892896562815,41,17,4,0,F M S,Borussia M.Gladbach,5,7.532668881118298,11.131392728537321,3.9691374003887177,Borussia M.Gladbach,2020,Bundesliga
3349,Ramy Bensebaini,25,1815,4,2.6612920658662915,0,1.2141721975058317,22,10,7,0,D M S,Borussia M.Gladbach,3,1.9035150902345777,5.551079474389553,4.655898850411177,Borussia M.Gladbach,2020,Bundesliga
212,Nico Elvedi,29,2542,3,2.3761499989777803,0,0.10026519931852818,12,3,1,0,D,Borussia M.Gladbach,3,2.3761499989777803,4.572054971009493,4.498618166893721,Borussia M.Gladbach,2020,Bundesliga
8171,Hannes Wolf,32,1354,3,1.9306361339986324,2,2.3530817050486803,16,15,2,0,F M S,Borussia M.Gladbach,3,1.9306361339986324,8.732583351433277,5.097049962729216,Borussia M.Gladbach,2020,Bundesliga
315,Matthias Ginter,34,3060,2,1.6111423801630735,1,1.5308020748198032,23,10,2,0,D,Borussia M.Gladbach,2,1.6111423801630735,9.930436286143959,8.550056363455951,Borussia M.Gladbach,2020,Bundesliga
6352,Valentino Lazaro,22,1230,2,1.8091706074774265,0,1.2182256765663624,15,17,3,0,D M S,Borussia M.Gladbach,2,1.8091706074774265,6.592180976644158,3.7790784128010273,Borussia M.Gladbach,2020,Bundesliga
7831,Stefan Lainer,33,2783,2,1.9452806999906898,2,3.743686866015196,25,37,2,0,D M S,Borussia M.Gladbach,2,1.9452806999906898,10.005759201943874,7.10742350295186,Borussia M.Gladbach,2020,Bundesliga
206,Oscar Wendt,22,1269,1,0.9747694134712219,1,0.5598959941416979,8,7,3,0,D M S,Borussia M.Gladbach,1,0.9747694134712219,2.96374886110425,2.0073938351124525,Borussia M.Gladbach,2020,Bundesliga
6147,Denis Zakaria,25,1422,1,1.4012947790324688,1,1.0750095583498478,11,9,5,0,D M S,Borussia M.Gladbach,1,1.4012947790324688,6.457549669779837,4.711558889597654,Borussia M.Gladbach,2020,Bundesliga
187,Christoph Kramer,28,2040,0,0.2690878976136446,2,0.9534767139703035,10,11,5,0,D M S,Borussia M.Gladbach,0,0.2690878976136446,6.756241401657462,5.997417749837041,Borussia M.Gladbach,2020,Bundesliga
199,Yann Sommer,31,2712,0,0,0,0,0,0,1,1,GK,Borussia M.Gladbach,0,0,2.189790515229106,2.189790515229106,Borussia M.Gladbach,2020,Bundesliga
201,Tony Jantschke,8,260,0,0.4743940979242325,0,0,2,0,1,0,D S,Borussia M.Gladbach,0,0.4743940979242325,0.9432047009468079,0.9432047009468079,Borussia M.Gladbach,2020,Bundesliga
207,Ibrahima Traoré,7,84,0,0,0,0.0784699022769928,0,1,0,0,M S,Borussia M.Gladbach,0,0,0.0784699022769928,0,Borussia M.Gladbach,2020,Bundesliga
214,Tobias Sippel,4,344,0,0,0,0,0,0,0,0,GK S,Borussia M.Gladbach,0,0,0.020461900159716606,0.020461900159716606,Borussia M.Gladbach,2020,Bundesliga
420,Patrick Herrmann,27,839,0,2.1185628697276115,3,2.294696681201458,19,22,3,0,F M S,Borussia M.Gladbach,0,2.1185628697276115,4.66982158459723,1.2869715820997953,Borussia M.Gladbach,2020,Bundesliga
5258,László Bénes,7,142,0,0.03847669996321201,1,0.17226035799831152,2,4,0,0,M S,Borussia M.Gladbach,0,0.03847669996321201,0.5384870804846287,0.5000110268592834,Borussia M.Gladbach,2020,Bundesliga
6557,Louis Beyer,4,186,0,0,0,0,0,0,0,0,D S,Borussia M.Gladbach,0,0,0.559908002614975,0.559908002614975,Borussia M.Gladbach,2020,Bundesliga
8826,Rocco Reitz,2,62,0,0,0,0.11096899956464767,0,2,1,0,M S,Borussia M.Gladbach,0,0,0.11096899956464767,0,Borussia M.Gladbach,2020,Bundesliga
