id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
2186,Morales,38,2469,14,7.804587932303548,3,4.620818715542555,58,34,3,0,F M S,Levante,14,7.061438636854291,12.581380665302277,3.2699945010244846,Levante,2020,La_liga
2566,Roger,33,2218,12,9.544376922771335,4,2.5728685073554516,46,18,4,0,F S,Levante,10,6.571267096325755,12.849098224192858,4.277770348824561,Levante,2020,La_liga
6953,Gonzalo Melero,29,1868,7,3.8665640465915203,1,1.599389678798616,28,20,4,0,F M S,Levante,7,3.8665640465915203,11.250778248533607,8.103925498202443,Levante,2020,La_liga
8107,Jorge De Frutos,37,2186,4,3.8012576159089804,9,4.080365723930299,26,42,3,0,D M S,Levante,4,3.8012576159089804,11.2096410356462,5.312309548258781,Levante,2020,La_liga
5095,Sergio León,28,716,2,2.591829665005207,0,0.30707230232656,19,6,0,0,F S,Levante,2,2.591829665005207,4.662030884996057,1.935245806351304,Levante,2020,La_liga
8774,Dani Gómez,34,1671,2,3.166329282335937,2,0.7449509873986244,31,11,3,0,F S,Levante,2,3.166329282335937,4.7537208227440715,2.116133563220501,Levante,2020,La_liga
2386,Rúben Vezo,32,2306,1,0.2634614035487175,0,0.17253789491951466,5,3,7,0,D S,Levante,1,0.2634614035487175,7.449685217812657,7.255575421266258,Levante,2020,La_liga
2435,Óscar Duarte,29,2060,1,0.8109025619924068,0,0.1332259001210332,7,4,2,0,D S,Levante,1,0.8109025619924068,4.881868395023048,4.84811429399997,Levante,2020,La_liga
4034,José Campaña,9,747,1,1.4518355038017035,2,2.176618242636323,13,14,1,0,M S,Levante,0,0.7085580248385668,3.23660640232265,1.9869729839265347,Levante,2020,La_liga
6217,Enis Bardhi,26,1687,1,2.8161858692765236,2,1.0752283204346895,36,21,4,0,F M S,Levante,1,2.8161858692765236,7.5250681126490235,4.295086943544447,Levante,2020,La_liga
8907,Mickaël Malsa,35,2349,1,1.1669949647039175,0,0.48513209354132414,24,12,5,0,M S,Levante,1,1.1669949647039175,9.602620921097696,8.450555732473731,Levante,2020,La_liga
2073,Coke,17,840,0,0.29810450598597527,0,0.5041230879724026,9,4,1,0,D S,Levante,0,0.29810450598597527,2.3188489712774754,1.7949252091348171,Levante,2020,La_liga
2079,Rubén Rochina,25,1404,0,1.2475803550332785,1,1.527286795899272,35,16,5,0,M S,Levante,0,1.2475803550332785,4.846356208436191,3.075414669699967,Levante,2020,La_liga
2187,Toño,12,733,0,0.03325969912111759,2,0.3951695039868355,2,6,2,0,D M S,Levante,0,0.03325969912111759,1.573397383093834,1.3261408787220716,Levante,2020,La_liga
2289,Nemanja Radoja,21,1118,0,0.17545229475945234,2,0.3974123001098633,6,3,1,0,M S,Levante,0,0.17545229475945234,4.975821655243635,4.653878565877676,Levante,2020,La_liga
2326,Rober,19,1432,0,0.24175440426915884,1,0.7268706262111664,7,4,3,1,D M S,Levante,0,0.24175440426915884,2.579930679872632,2.440938403829932,Levante,2020,La_liga
4193,Aitor Fernández,29,2610,0,0,0,0,0,0,0,0,GK,Levante,0,0,3.3356653228402138,3.3356653228402138,Levante,2020,La_liga
4741,Cheick Doukoure,7,85,0,0,0,0.04242679849267006,0,1,1,0,S,Levante,0,0,0.04242679849267006,0,Levante,2020,La_liga
5101,Carlos Clerc,35,2772,0,0.2664439007639885,3,3.3764721462503076,6,22,5,0,D S,Levante,0,0.2664439007639885,11.409060135483742,8.03650764375925,Levante,2020,La_liga
6215,Sergio Postigo,22,1622,0,0.05870399996638298,0,0.13807739689946175,1,3,4,0,D S,Levante,0,0.05870399996638298,4.704987537115812,4.652595642954111,Levante,2020,La_liga
6495,Koke,1,90,0,0,0,0,0,0,0,0,GK,Levante,0,0,0.023206399753689766,0.023206399753689766,Levante,2020,La_liga
6949,Jorge Miramón,26,1729,0,0.4579458050429821,3,2.1034312322735786,10,16,1,0,D M S,Levante,0,0.4579458050429821,6.716294523328543,5.793274994939566,Levante,2020,La_liga
7155,Nikola Vukcevic,13,818,0,0.21863900125026703,0,0.19047069922089577,2,4,4,0,M S,Levante,0,0.21863900125026703,1.8662531413137913,1.6757790297269821,Levante,2020,La_liga
8108,Daniel Cárdenas,8,720,0,0,0,0,0,0,1,0,GK,Levante,0,0,1.190928085707128,1.190928085707128,Levante,2020,La_liga
8425,Giorgi Kochorashvili,3,18,0,0.008863650262355804,0,0.06217779964208603,1,1,0,0,S,Levante,0,0.008863650262355804,0.06217779964208603,0,Levante,2020,La_liga
8525,Álex Blesa,1,7,0,0,0,0,0,0,0,0,S,Levante,0,0,0.3947579860687256,0.3947579860687256,Levante,2020,La_liga
8775,Son,28,1080,0,0.5402019172906876,0,0.9672183059155941,8,18,3,0,D M S,Levante,0,0.5402019172906876,3.090344561263919,2.136981012299657,Levante,2020,La_liga
9174,Edgar Sevikyan,1,5,0,0,0,0,0,0,0,0,S,Levante,0,0,0,0,Levante,2020,La_liga
9496,Alejandro Cantero,4,245,0,0.44234349578619003,0,1.0825661644339561,3,3,1,0,F S,Levante,0,0.44234349578619003,1.4155192002654076,0.3262679874897003,Levante,2020,La_liga
